,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Cara Sherman,12,Karen Bertasso,12,Marta Dauphinee,12,Judy Guzzo,12,Beth Stalker,12,Erika Oesterle
1,10,Fiona Recchia,10,Nicole Moslander,10,Diana Tobon-knobloch,10,Lisa Nieradka,10,Colleen Brackett,10,Martha c. Degrazia
2,8,Kim Mcbride,8,Michelle Merlis,8,Shanley Alber,8,Kristen Hislop,8,Mary Duprey,8,Susan j. Wong
3,7,Gina Capobianco,7,Meghan Mortensen,7,Michelle Lavigne,7,Lonnie Halusic,7,Linda Kimmey,7,Kris Thorne
4,6,Emma Renner,6,Lauren Carnahan,6,Deanne Webster,6,Laurie Hoyt,6,Maureen Fitzgerald,6,Sibyl Jacobson
5,5,Kelly O'sullivan,5,Lauren Scarupa,5,Colleen Ottalagano-mcgarry,5,Annette Romano,5,Sharon Desrochers,5,Loretta Ebert
6,4,Kayla Baker,4,Meghan Louden,4,Tina Greene,4,Sarah Vogel,4,Deb Goedeke,4,
7,3,,3,Erin Rightmyer,3,Laura Zima,3,Denise m. Mormino,3,Andrea Rowe,3,
8,2,,2,Michelle Davis,2,Sarah Parks,2,Deb Valois,2,Janice Phoenix,2,
9,1,,1,Ashley Bevill,1,Erin Murphy,1,Joanna Tremper,1,Carolyn burke George,1,
