1991 Stockade-athon


Men's Results

1 John Trowse, 25 46.51
2 Thomas Dalton, 33 48.01
3 Dale Keenan, 41 48.34
4 Michael Moffett, 31 48.54
5 Vincent O’Brien, 26 49.02
6 Chris Buckley, 30 49.11
7 Richard Coughlin, 31 49.14
8 Kevin Williams, 33 49.28
9 Chip Button, 39 50.11
10 Vinny Reda, 39 5014
11 Jake Kearney, 38 50.36
12 Rick Stark, 42 50.44
13 Gary Byrnes, 31 50.59
14 Briann Hickey, 23 51.05
15 Tom Bulger, 38 51.06
16 John Thorpe, 41 51.07
17 Richard Cummings, 24 51.10
18 Gregory Potter, 23 51.20
19 Patrick Glover, 45 51.30
20 Bill McCartan, 31 51.40
21 Tommy Constantine, 29 51.42
22 Peter Gerardi, 40 51.44
23 Charlie Casey, 29 51.46
24 John Callaci, 34 51.50
25 Jim Amell, 32 51.52
26 Rick Bennett, 29 51.56
27 Rob Picotte, 38 52.11
28 Bob Fancher, 30 52.16
29 David Schultz, 26 52.18
30 Kevin Barrett, 39 52.21
31 Mike Brinkman, 37 52.25
32 Mark Looney, 30 52.28
33 Kyle Newcomb, 29 52.31
34 Kevin Scheuer, 33 52.48
35 Scott Moro, 27 52.51
36 William Douglas, 30 52.54
37 Ronald Bagnoli, 44 52.55
38 Pace Kessenich, 31 53.27
39 Charles Parmalee, 47 53.33
40 Tim Mason, 34 53.35
41 Kenneth Oberhausen, 29 53.36
42 James Foley, 27 53.38
43 George Bailie, 36 53.41
44 Dennis King, 17 53.44
45 James Burnes, 31 53.47
46 Mike Mason, 42 53.51
47 Patrick Allen, 30 53.57
48 Allen Keup, 24 54.00
49 John Barnes, 35 54.02
50 Steve Jones, 37 54.04
51 Russ Hoyer, 31 54.07
52 Bill Brigham, 33 54.10
53 Michael Miller, 34 54.14
54 Jeff Eades, 17 54.20
55 Brian ONeil, 32 54.21
56 Timothy Donaghue, 30 54.36
57 Christopher Kranick, 23 54.37
58 Don Kearns, 39 54.38
